,school_name,address,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code
233,NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,"DOVER MRT, CLEMENTI MRT","33, 96, 151, 196, 183",QUEENSTOWN,CO-ED SCHOOL,SECONDARY
234,QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD,148800,"REDHILL MRT, QUEENSTOWN MRT","33, 51, 64, 111, 120, 139, 145, 186, 970",QUEENSTOWN,CO-ED SCHOOL,SECONDARY
235,SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1,555889,"SERANGOON MRT, ANG MO KIO MRT","25, 55, 55A, 73, 74, 76, 76A, 132, 165, 315",SERANGOON,CO-ED SCHOOL,SECONDARY
236,TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD,127391,CLEMENTI MRT,"30, 51, 78, 285, 143, 176",CLEMENTI,CO-ED SCHOOL,SECONDARY
237,TANJONG KATONG SECONDARY SCHOOL,130 HAIG ROAD,438796,"PAYA LEBAR MRT, DAKOTA MRT","10, 16, 31, 32, 33, 40, 76, 135, 197",MARINE PARADE,CO-ED SCHOOL,SECONDARY
238,WOODLANDS RING SECONDARY SCHOOL,10 WOODLANDS RING ROAD,738239,ADMIRALTY MRT,912,WOODLANDS,CO-ED SCHOOL,SECONDARY
239,ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81,768454,KHATIB MRT,811,YISHUN,CO-ED SCHOOL,SECONDARY
240,SEMBAWANG SECONDARY SCHOOL,30 SEMBAWANG CRESCENT,757704,SEMBAWANG MRT,"859, 962",SEMBAWANG,CO-ED SCHOOL,SECONDARY
241,SENG KANG SECONDARY SCHOOL,10 COMPASSVALE LANE,545090,"SENGKANG MRT, RANGGUNG LRT","27, 80, 85, 86, 87, 89, 89E, 163, 163M, 372",SENG KANG,CO-ED SCHOOL,SECONDARY
242,JUNYUAN SECONDARY SCHOOL,11 TAMPINES STREET 84,528933,TAMPINES MRT,"69, 291, 293",TAMPINES,CO-ED SCHOOL,SECONDARY
243,EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34,529231,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",TAMPINES,CO-ED SCHOOL,SECONDARY
244,UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62,689143,YEW TEE MRT,307,CHOA CHU KANG,CO-ED SCHOOL,SECONDARY
245,NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD,768692,"YISHUN MRT, KHATIB MRT","804, 806, 807, 860, 103",YISHUN,CO-ED SCHOOL,SECONDARY
246,PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41,518934,PASIR RIS MRT,"358, 17, 81, 12, 3",PASIR RIS,CO-ED SCHOOL,SECONDARY
