,school_name,full_add,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code,latlong
116,GUANGYANG PRIMARY SCHOOL,6 BISHAN STREET 12,579806,Bishan MRT,"13,52,54,55,56,57,59,88,93,156,157,163,410",BISHAN,CO-ED SCHOOL,PRIMARY,"1.3460426646563302,103.849284759591"
117,TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9,529565,Tampines MRT,"SBS Transit 28, 29, 293",TAMPINES,CO-ED SCHOOL,PRIMARY,"1.3606917197690902,103.94893679759599"
118,ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52,518866,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",PASIR RIS,CO-ED SCHOOL,PRIMARY,"1.3750569631581797,103.945289416873"
119,AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11,768643,Yishun,"Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883",YISHUN,CO-ED SCHOOL,PRIMARY,"1.4336812067491498,103.832924289687"
120,NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6,768960,Yishun,Feeder Service 804 & 806,YISHUN,CO-ED SCHOOL,PRIMARY,"1.42794340255251,103.848368288236"
121,PIONEER PRIMARY SCHOOL,23 JURONG WEST STREET 81,649076,Boon Lay Station,243,JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.3487209274656902,103.694867873154"
122,PUNGGOL PRIMARY SCHOOL,61 HOUGANG AVENUE 8,538787,"Hougang, Buangkok",62 74 88 113 147 325,HOUGANG,CO-ED SCHOOL,PRIMARY,"1.3696496803097702,103.885062530683"
123,PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1,519524,Pasir Ris MRT Station,"358,39,53,81,89",PASIR RIS,CO-ED SCHOOL,PRIMARY,"1.3777702609722,103.939688717311"
124,ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE,738907,Admiralty Station,"TIBS 965, 964, 913",WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.44267961678134,103.80011435155701"
125,KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54,689189,Yew Tee MRT,"Bus No 307, 302",CHOA CHU KANG,CO-ED SCHOOL,PRIMARY,"1.3941849644637798,103.747412309639"
126,SENG KANG PRIMARY SCHOOL,21 COMPASSVALE WALK,545166,Sengkang MRT,"27, 80, 82, 83, 86, 87, 88, 89, 119, 156, 163, 371, 372 & 965",SENG KANG,CO-ED SCHOOL,PRIMARY,"1.3892504565418602,103.899527873246"
127,WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD,738240,Admiralty MRT Station,912,WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.43476970480442,103.79784112681101"
128,WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD,677742,"CCK MRT, SENJA LRT (A13)","170,171,176,178,180,187,190,960,961,963",BUKIT PANJANG,CO-ED SCHOOL,PRIMARY,"1.3835905738260201,103.760289106472"
129,WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11,519075,Pasir Ris MRT Station,"12, 17, 21, 39, 53, 81, 518, 109",PASIR RIS,CO-ED SCHOOL,PRIMARY,"1.3655178130910801,103.96094821557199"
130,UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT,688268,Yew Tee MRT,TIBs 302,CHOA CHU KANG,CO-ED SCHOOL,PRIMARY,"1.4028233896861801,103.746993420009"
131,CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE,757714,Sembawang MRT Station,Bus No. 859,SEMBAWANG,CO-ED SCHOOL,PRIMARY,"1.4510640067558997,103.815970864699"
132,RIVERVALE PRIMARY SCHOOL,80 RIVERVALE DRIVE,545092,Nearest LRT Station : Rumbia,Bus Service 86.,SENG KANG,CO-ED SCHOOL,PRIMARY,"1.39341402481338,103.90455952055001"
133,JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61,648368,Pioneer MRT Station,192,JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.33924375323729,103.698895783329"
134,EAST SPRING PRIMARY SCHOOL,31 TAMPINES ST 33,529258,Tampines,"291, 28",TAMPINES,CO-ED SCHOOL,PRIMARY,"1.3528227186965098,103.95761303925501"
135,EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE,738908,Admiralty,"913(front), 911 & 858(back)",WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.44414835451586,103.79454529592199"
136,COMPASSVALE PRIMARY SCHOOL,21 COMPASSVALE ST,545091,Sengkang,"83 (along Compassvale Street) 27, 89, 89E & 965 (along Compassvale Road).",SENG KANG,CO-ED SCHOOL,PRIMARY,"1.3944452952705402,103.897812236976"
137,WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14,738079,Woodlands MRT Station,901,WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.4330580604100098,103.790389620371"
138,SEMBAWANG PRIMARY SCHOOL,10 SEMBAWANG DRIVE,757715,Sembawang MRT (6 to 8-minute walk),"167, 856, 859, 962, 980",SEMBAWANG,CO-ED SCHOOL,PRIMARY,"1.46092468732298,103.81717977056101"
139,CONCORD PRIMARY SCHOOL,3 CHOA CHU KANG AVE 4,689814,Choa Chu Kang MRT Station,Bus 300,CHOA CHU KANG,CO-ED SCHOOL,PRIMARY,"1.3804115125088798,103.736142792506"
140,NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET,545088,NEL - Sengkang Station LRT - Bakau Station,"SBS Transit Services 82, 85, 86, 88, 119, 136, 163, 372",SENG KANG,CO-ED SCHOOL,PRIMARY,"1.38752823629061,103.903512956253"
141,YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64,689100,Yew Tee MRT Station,307,CHOA CHU KANG,CO-ED SCHOOL,PRIMARY,"1.39696139159335,103.751194604689"
142,HOUGANG PRIMARY SCHOOL,1 HOUGANG ST 93,534238,"Ang Mo Kio, Buangkok, Hougang, Yio Chu Kang","SBS 43, 72, 88, 101, 109, 116, 156, 159, 325",HOUGANG,CO-ED SCHOOL,PRIMARY,"1.37803986098971,103.881166249315"
143,MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71,518798,Pasir Ris MRT Station,"3,359",PASIR RIS,CO-ED SCHOOL,PRIMARY,"1.3759708310455598,103.935143222264"
144,GREENWOOD PRIMARY SCHOOL,11 WOODLANDS  DR  62,737942,Admiralty MRT Station,"912, 913, 962",WOODLANDS,CO-ED SCHOOL,PRIMARY,"1.44011049774914,103.804629295565"
145,ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVE 9,569785,Yio Chu Kang MRT Station,"Ang Mo Kio Ave 9 - Bus 76, 265, 268",ANG MO KIO,CO-ED SCHOOL,PRIMARY,"1.38419941907926,103.841411716006"
146,WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE,757702,Sembawang MRT,"980, 856, 859",SEMBAWANG,CO-ED SCHOOL,PRIMARY,"1.4519338706048102,103.82232058558901"
147,EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS,828869,Punggol MRT,"3, 34, 62, 82, 83, 136",PUNGGOL,CO-ED SCHOOL,PRIMARY,"1.40029783476904,103.907430522021"
148,WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72,649223,Boon Lay MRT,"Bus 99, 242",JURONG WEST,CO-ED SCHOOL,PRIMARY,"1.34471212179468,103.69896420482901"
149,CASUARINA PRIMARY SCHOOL,30 PASIR RIS ST 41,518935,Pasir Ris MRT Station,"Nos. 12, 21 & 358",PASIR RIS,CO-ED SCHOOL,PRIMARY,"1.37278901646362,103.957291273316"
150,CLEMENTI PRIMARY SCHOOL,8 CLEMENTI AVE 3,129903,Clementi Station,We are just beside Clementi Bus Interchange.,CLEMENTI,CO-ED SCHOOL,PRIMARY,"1.31580856292001,103.76305484091"
151,TANJONG KATONG PRIMARY SCHOOL,860 NEW UPPER CHANGI ROAD,467353,"From Bedok MRT: 2, 9, 24, 31, 35, 35M, 222 From Tenah Merah MRT: 2, 9, 24, 31, 35, 35M, 45","New Upper Changi Road (Opposite the school): 2, 9, 24, 31, 35, 35M, 45, 222, 506, NR7 (School side): 2, 9, 24, 31, 35, 35M, 45, 222, 506",MARINE PARADE,CO-ED SCHOOL,PRIMARY,"1.32401711963193,103.93896679972299"
152,ANDERSON SECONDARY SCHOOL,10 ANG MO KIO STREET 53,569206,"ANG MO KIO MRT, YIO CHU KANG MRT","265, 548, 45, 50, 72",ANG MO KIO,CO-ED SCHOOL,SECONDARY,"1.37424218886594,103.851429953072"
153,BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI,538403,"BARTLEY MRT, TAI SENG MRT","22, 24, 28, 43, 58, 62, 70, 70M, 76, 80, 80A, 93, 158",TOA PAYOH,CO-ED SCHOOL,SECONDARY,"1.3400174201764299,103.882455029785"
154,BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH,318990,"BRADDELL MRT, TOA PAYOH MRT","28, 56, 73, 88, 93, 105, 153, 155, 157, 159, 163, 231, 232",TOA PAYOH,CO-ED SCHOOL,SECONDARY,"1.34179051106272,103.852064858056"
155,CEDAR GIRLS' SECONDARY SCHOOL,1 CEDAR AVENUE,349692,"WOODLEIGH MRT, POTONG PASIR MRT","8, 61, 64, 65, 66, 90, 100, 135, 151, 154, 155",TOA PAYOH,GIRLS' SCHOOL,SECONDARY,"1.3345273649016,103.873791000408"
156,CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD,247961,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",BUKIT MERAH,GIRLS' SCHOOL,SECONDARY,"1.2933051143130903,103.81763480263399"
157,GAN ENG SENG SCHOOL,1 HENDERSON ROAD,159561,"REDHILL MRT, TIONG BAHRU MRT","14,16,32,33,51,63,64,120,122,145,139,186,851,970",BUKIT MERAH,CO-ED SCHOOL,SECONDARY,"1.289071144584,103.823733672546"
158,QUEENSWAY SECONDARY SCHOOL,2A MARGARET DRIVE,149295,"COMMONWEALTH MRT, QUEENSTOWN MRT","32, 51, 93, 100, 105, 111, 122, 123, 145, 147, 153, 186, 195, 196, 198, 855, 961, 970",QUEENSTOWN,CO-ED SCHOOL,SECONDARY,"1.30047516692949,103.80172361393"
159,RAFFLES GIRLS' SCHOOL (SECONDARY),20 ANDERSON ROAD,259978,"ORCHARD MRT, STEVENS MRT","105, 132, 190, 972",CENTRAL,GIRLS' SCHOOL,SECONDARY,"1.3116950282779198,103.82895958573299"
160,RAFFLES INSTITUTION,1 RAFFLES INSTITUTION LANE,575954,"BISHAN MRT, MARYMOUNT MRT","410,13,50,52,53,54,55,56,57,58,59,71,74,88,93,128,130,132,156,157,162,163,165,166,167,851,852,855,980",BISHAN,CO-ED SCHOOL,MIXED LEVEL,"1.34748539087703,103.84458634123501"
161,SERANGOON SECONDARY SCHOOL,11 UPPER SERANGOON VIEW,534237,"HOUGANG MRT, KANGKAR LRT","62, 74, 102, 113, 119, 136, 147, 324",HOUGANG,CO-ED SCHOOL,SECONDARY,"1.37555533250025,103.90191036399901"
162,COMMONWEALTH SECONDARY SCHOOL,698 WEST COAST ROAD,608784,"JURONG EAST MRT, CLEMENTI MRT","30,51,78,79,143,143M,176,201",JURONG EAST,CO-ED SCHOOL,SECONDARY,"1.31912807800574,103.74575548565399"
163,TANJONG KATONG GIRLS' SCHOOL,2 BEDOK SOUTH ROAD,469268,BEDOK MRT,"2, 2A, 4N, 7, 9, 16, 24, 25, 28, 30, 30E, 31, 32, 33, 35, 35M, 38, 40, 67, 137, 196, 197, 222, 222B, 229, 401, 854",MARINE PARADE,GIRLS' SCHOOL,SECONDARY,"1.32203912011099,103.927030801519"
164,VICTORIA SCHOOL,2 SIGLAP LINK,448880,"BEDOK MRT, PAYA LEBAR MRT","31, 36, 43,47, 48, 55, 135, 155, 196, 196E, 197, 541, 763",BEDOK,BOYS' SCHOOL,SECONDARY,"1.30835682381162,103.927611509809"
165,WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24,579747,"BISHAN MRT, MARYMOUNT MRT","13, 52, 54, 74, 74E, 88, 162, 162M,  588, 410, 851, 852",BISHAN,CO-ED SCHOOL,SECONDARY,"1.35549462375783,103.84256388119499"
166,YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41,649406,LAKESIDE MRT,"49, 98, 99, 157, 185, 187, 198, 335, 502",JURONG WEST,CO-ED SCHOOL,SECONDARY,"1.3472184493890802,103.722581522719"
167,YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71,768516,"YISHUN MRT, KHATIB MRT","167,  169,  171,  800,  807, 811, 812,  856,  858,  859,  860,  969, 980",YISHUN,CO-ED SCHOOL,SECONDARY,"1.42813201188539,103.828814809222"
168,BENDEMEER SECONDARY SCHOOL,1 ST WILFRED ROAD,327919,BOON KENG MRT,"13,  23,  31,  64,  65,  66, 125, 133, 140, 147, 857, 985",KALLANG,CO-ED SCHOOL,SECONDARY,"1.32461111308,103.86097028358499"
169,FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1,739062,MARSILING MRT,"187, 856, 912, 925, 926, 950, 960, 961, 963, 966",WOODLANDS,CO-ED SCHOOL,SECONDARY,"1.43083398768944,103.77714799950199"
