,school_name,full_add,postal_code,mrt_desc,bus_desc,dgp_code,nature_code,mainlevel_code,latlong
226,RIVERSIDE SECONDARY SCHOOL,3 WOODLANDS STREET 81,738524,WOODLANDS MRT,"858, 900, 911, 913, 964, 962, 965, 969, 169, 903",WOODLANDS,CO-ED SCHOOL,SECONDARY,"1.44107794946847,103.788313471813"
227,ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3,556123,SERANGOON MRT,"22, 43, 45, 53, 58, 70, 81, 82, 100, 101, 103, 105, 107, 109, 133, 135, 147, 153, 158, 315, 317, 853",SERANGOON,CO-ED SCHOOL,SECONDARY,"1.34909736057026,103.86980003456101"
228,SWISS COTTAGE SECONDARY SCHOOL,3 BUKIT BATOK STREET 34,659322,BUKIT GOMBAK MRT,"187,188,985,945",BUKIT BATOK,CO-ED SCHOOL,SECONDARY,"1.3643339066124902,103.75067366906299"
229,YUSOF ISHAK SECONDARY SCHOOL,11 BUKIT BATOK STREET 25,658712,BUKIT BATOK MRT,"61, 66, 77, 106, 157, 174, 178, 506, 852, 963",BUKIT BATOK,CO-ED SCHOOL,SECONDARY,"1.34233377803496,103.760013141667"
230,CHANGKAT CHANGI SECONDARY SCHOOL,23 SIMEI ST 3,529894,SIMEI MRT,"5, 9, 20, 38",TAMPINES,CO-ED SCHOOL,SECONDARY,"1.34036113973244,103.952725093811"
231,TECK WHYE SECONDARY SCHOOL,31 TECK WHYE CRESCENT,688848,"CHUA CHU KANG MRT, PHOENIX LRT","975, 985, 190, 982E, 557",CHOA CHU KANG,CO-ED SCHOOL,SECONDARY,"1.38380189005237,103.75524697253799"
232,DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2,659204,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",BUKIT BATOK,CO-ED SCHOOL,SECONDARY,"1.36363809340289,103.745003319776"
233,NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD,139657,"DOVER MRT, CLEMENTI MRT","33, 96, 151, 196, 183",QUEENSTOWN,CO-ED SCHOOL,SECONDARY,"1.30998631560777,103.773248973337"
234,QUEENSTOWN SECONDARY SCHOOL,1 STRATHMORE ROAD,148800,"REDHILL MRT, QUEENSTOWN MRT","33, 51, 64, 111, 120, 139, 145, 186, 970",QUEENSTOWN,CO-ED SCHOOL,SECONDARY,"1.29353329380772,103.81317546974"
235,SERANGOON GARDEN SECONDARY SCHOOL,21 SERANGOON NORTH AVENUE 1,555889,"SERANGOON MRT, ANG MO KIO MRT","25, 55, 55A, 73, 74, 76, 76A, 132, 165, 315",SERANGOON,CO-ED SCHOOL,SECONDARY,"1.3698904842453403,103.86914972225"
236,TANGLIN SECONDARY SCHOOL,301 WEST COAST ROAD,127391,CLEMENTI MRT,"30, 51, 78, 285, 143, 176",CLEMENTI,CO-ED SCHOOL,SECONDARY,"1.30977347800846,103.75821541431499"
